epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6230.04,1.01078,1.39365,0.89793,0.08185,0.50485,0.09221,0.06075,0.83499,10.2575,0.65137,0.00033032,0.00033032,0.00033032
43,6391.54,1.00938,1.29132,0.90162,0.10844,0.3548,0.12297,0.08255,0.85385,8.86167,0.66044,0.000324815,0.000324815,0.000324815
44,6530.23,1.00459,1.34298,0.89321,0.04694,0.65955,0.09987,0.0678,0.85265,10.8142,0.6661,0.000319311,0.000319311,0.000319311
45,6665.52,1.02304,1.23645,0.90937,0.04502,0.6536,0.09363,0.06141,0.85287,13.2073,0.66547,0.000313806,0.000313806,0.000313806
46,6799.68,0.98721,1.2292,0.89452,0.09773,0.20632,0.10328,0.06947,0.84978,10.3733,0.66056,0.000308302,0.000308302,0.000308302
47,6927.55,0.97176,1.24137,0.9061,0.14063,0.20189,0.10846,0.07104,0.82931,13.8,0.65189,0.000302798,0.000302798,0.000302798
48,7053.03,1.00919,1.27583,0.89807,0.04098,0.65917,0.07815,0.05071,0.83876,10.3649,0.66254,0.000297293,0.000297293,0.000297293
49,7184.13,0.96504,1.23769,0.88375,0.15771,0.23647,0.07819,0.05151,0.83535,10.6241,0.6592,0.000291789,0.000291789,0.000291789
50,7321.37,0.97325,1.18704,0.88964,0.06938,0.27212,0.08372,0.05338,0.83464,12.8527,0.65516,0.000286284,0.000286284,0.000286284
51,7449.14,1.00869,1.25413,0.9098,0.15056,0.11069,0.09086,0.05864,0.84724,12.1744,0.65857,0.00028078,0.00028078,0.00028078
52,7580.17,0.98336,1.2024,0.90093,0.15282,0.15604,0.08677,0.05578,0.85089,15.9306,0.65767,0.000275276,0.000275276,0.000275276
53,7708.73,0.93953,1.16681,0.88267,0.13703,0.13914,0.08187,0.05359,0.83373,16.95,0.65695,0.000269771,0.000269771,0.000269771
54,7866.71,1.00215,1.24487,0.90974,0.03489,0.64676,0.08011,0.05211,0.8508,12.3161,0.65839,0.000264267,0.000264267,0.000264267
55,7994.71,0.95167,1.16246,0.89073,0.1509,0.10958,0.08294,0.05393,0.85506,11.8278,0.66457,0.000258762,0.000258762,0.000258762
56,8130.07,0.90572,1.10999,0.87747,0.16271,0.10029,0.07474,0.05045,0.86014,11.3344,0.67457,0.000253258,0.000253258,0.000253258
57,8266.37,0.92936,1.15955,0.88288,0.20091,0.12765,0.07517,0.0508,0.89391,9.76631,0.69244,0.000247754,0.000247754,0.000247754
58,8395.73,0.91442,1.10823,0.8738,0.12071,0.17624,0.10958,0.07256,0.84875,14.9151,0.65582,0.000242249,0.000242249,0.000242249
59,8523.73,0.90708,1.13048,0.88517,0.14625,0.20335,0.11837,0.07529,0.83653,13.7026,0.65646,0.000236745,0.000236745,0.000236745
60,8652.03,0.95964,1.162,0.89116,0.08073,0.33256,0.08256,0.05349,0.87009,8.97835,0.67752,0.00023124,0.00023124,0.00023124
61,8782.79,0.94188,1.09815,0.8804,0.04497,0.56694,0.07653,0.05046,0.87722,9.54656,0.67811,0.000225736,0.000225736,0.000225736
62,8911.37,0.9341,1.05639,0.89629,0.07843,0.11657,0.06958,0.04417,0.8747,14.1022,0.67534,0.000220232,0.000220232,0.000220232
63,9064.61,0.89265,1.05706,0.87372,0.03778,0.48233,0.05357,0.03564,0.87035,12.3306,0.67842,0.000214727,0.000214727,0.000214727
64,9194.38,0.89068,1.07199,0.88739,0.03886,0.48086,0.05139,0.03472,0.84995,9.90759,0.67128,0.000209223,0.000209223,0.000209223
65,9324.53,0.88567,1.08238,0.87571,0.04054,0.5868,0.07686,0.05135,0.84505,12.3719,0.66047,0.000203718,0.000203718,0.000203718
66,9453.99,0.89813,1.02022,0.87517,0.09204,0.1912,0.09814,0.06577,0.83327,18.5042,0.64832,0.000198214,0.000198214,0.000198214
67,9580.98,0.8911,1.0218,0.86969,0.09965,0.16657,0.09913,0.0675,0.82018,16.8565,0.65049,0.00019271,0.00019271,0.00019271
68,9702.49,0.88157,0.99131,0.8687,0.04583,0.63895,0.08763,0.0596,0.83833,17.3192,0.65811,0.000187205,0.000187205,0.000187205
69,9829.43,0.88462,0.98177,0.8724,0.04622,0.48617,0.07942,0.05548,0.86759,14.3839,0.66907,0.000181701,0.000181701,0.000181701
70,9961.14,0.88526,0.98607,0.87333,0.04316,0.57027,0.07766,0.05271,0.87047,14.747,0.66923,0.000176196,0.000176196,0.000176196
71,10091.9,0.88229,0.99947,0.8693,0.05048,0.26919,0.07131,0.04913,0.87706,16.3866,0.67368,0.000170692,0.000170692,0.000170692
72,10368.1,0.84653,1.00316,0.87566,0.03765,0.44385,0.05411,0.03612,0.88031,13.0892,0.67823,0.000165188,0.000165188,0.000165188
73,10499.6,0.87778,1.03324,0.87231,0.04031,0.45915,0.05879,0.03829,0.88329,13.8386,0.67458,0.000159683,0.000159683,0.000159683
74,10628.2,0.84856,1.01953,0.86973,0.03829,0.61902,0.06846,0.04397,0.88288,17.1388,0.6677,0.000154179,0.000154179,0.000154179
75,10758.7,0.88768,0.99168,0.88314,0.06813,0.1187,0.06522,0.04298,0.87977,18.6356,0.66605,0.000148674,0.000148674,0.000148674
76,10888.9,0.81496,0.94533,0.85911,0.07777,0.20476,0.05734,0.03886,0.8605,15.7179,0.67198,0.00014317,0.00014317,0.00014317
77,11018.6,0.86133,0.95827,0.87653,0.07507,0.13697,0.05982,0.03949,0.85864,15.5385,0.67626,0.000137666,0.000137666,0.000137666
78,11148,0.87535,0.94091,0.87361,0.06381,0.1141,0.05544,0.03681,0.87054,16.5588,0.67577,0.000132161,0.000132161,0.000132161
79,11277.8,0.86367,0.96421,0.87524,0.03226,0.44551,0.04774,0.03272,0.89459,18.6822,0.67854,0.000126657,0.000126657,0.000126657
80,11414.7,0.84893,0.948,0.87478,0.0321,0.49611,0.04702,0.03246,0.8811,19.5024,0.67817,0.000121152,0.000121152,0.000121152
81,11544.5,0.84219,0.91463,0.87226,0.03241,0.47392,0.04506,0.03066,0.88359,18.3889,0.68113,0.000115648,0.000115648,0.000115648
82,11685.2,0.85133,0.972,0.87843,0.03866,0.47924,0.04687,0.03131,0.87713,15.7811,0.68332,0.000110144,0.000110144,0.000110144
83,11834.3,0.81648,0.91958,0.86365,0.042,0.51713,0.05029,0.03315,0.86758,14.8947,0.67888,0.000104639,0.000104639,0.000104639
84,11984.1,0.80577,0.92329,0.86711,0.03981,0.59232,0.05924,0.03883,0.85934,19.0776,0.6665,9.91348e-05,9.91348e-05,9.91348e-05
85,12148.7,0.78967,0.86859,0.8558,0.03918,0.60173,0.06044,0.03928,0.8528,19.8877,0.66305,9.36304e-05,9.36304e-05,9.36304e-05
86,12279.2,0.82675,0.88144,0.86254,0.04109,0.59799,0.06531,0.04237,0.85326,19.2811,0.66388,8.8126e-05,8.8126e-05,8.8126e-05
87,12406.7,0.82228,0.92055,0.8675,0.04378,0.57576,0.06194,0.04051,0.85631,15.8284,0.67226,8.26216e-05,8.26216e-05,8.26216e-05
88,12534.3,0.80132,0.90033,0.85257,0.04356,0.54719,0.05656,0.03744,0.8581,15.6787,0.67514,7.71172e-05,7.71172e-05,7.71172e-05
89,12661.5,0.78735,0.91589,0.85415,0.04164,0.58608,0.06129,0.03993,0.85237,17.3123,0.67049,7.16128e-05,7.16128e-05,7.16128e-05
90,12798.7,0.80436,0.89843,0.86424,0.0378,0.6122,0.0633,0.04076,0.84662,18.8304,0.66454,6.61084e-05,6.61084e-05,6.61084e-05
91,12939.3,0.85912,1.05926,0.86893,0.03227,0.59798,0.05644,0.03639,0.86415,20.473,0.66709,6.0604e-05,6.0604e-05,6.0604e-05
92,13080.1,0.85254,1.07928,0.85948,0.02672,0.58744,0.0472,0.03087,0.86349,19.9054,0.66742,5.50996e-05,5.50996e-05,5.50996e-05
93,13219.8,0.83219,1.02734,0.84881,0.02459,0.58446,0.04481,0.03014,0.86236,18.4438,0.67036,4.95952e-05,4.95952e-05,4.95952e-05
94,13350.6,0.83607,1.07191,0.86935,0.13004,0.195,0.04786,0.03115,0.86084,18.013,0.66668,4.40908e-05,4.40908e-05,4.40908e-05
95,13482.4,0.79676,0.97604,0.84492,0.12643,0.07553,0.05254,0.03444,0.85697,17.6798,0.66464,3.85864e-05,3.85864e-05,3.85864e-05
96,13607.2,0.80774,0.98619,0.85202,0.05165,0.07553,0.05337,0.03432,0.86269,17.9123,0.66633,3.3082e-05,3.3082e-05,3.3082e-05
97,13733.4,0.82259,0.98356,0.85643,0.05364,0.07908,0.05444,0.03473,0.8647,18.8016,0.66675,2.75776e-05,2.75776e-05,2.75776e-05
98,13859.3,0.79971,0.93462,0.85283,0.04974,0.07427,0.05192,0.03372,0.86642,19.7933,0.66788,2.20732e-05,2.20732e-05,2.20732e-05
99,13991,0.77367,0.94838,0.83918,0.05535,0.09972,0.05093,0.03308,0.86874,20.2768,0.66818,1.65688e-05,1.65688e-05,1.65688e-05
100,14114.6,0.77493,0.91708,0.85663,0.0618,0.12998,0.05202,0.03392,0.86875,20.6668,0.66753,1.10644e-05,1.10644e-05,1.10644e-05
